"sci_name","synonyms"
"""Dipturus wuhanlingi""","""Dipturus wuhanlingi"""
"""Discopyge castelloi""","""Discopyge castelloi"""
"""Discopyge tschudii""","""Discopyge tschudii"""
"""Electrolux addisoni""","""Electrolux addisoni"""
"""Fenestraja atripinna""","""Fenestraja atripinna"" OR ""Breviraja atripinna"""
"""Fenestraja cubensis""","""Fenestraja cubensis"" OR ""Breviraja cubensis"""
"""Fenestraja ishiyamai""","""Fenestraja ishiyamai"" OR ""Breviraja ishiyamai"""
"""Fenestraja maceachrani""","""Fenestraja maceachrani"" OR ""Gurgesiella maceachrani"""
"""Fenestraja mamillidens""","""Fenestraja mamillidens"" OR ""Raja mamillidens"""
"""Fenestraja plutonia""","""Fenestraja plutonia"" OR ""Raja plutonia"""
"""Fenestraja sibogae""","""Fenestraja sibogae"" OR ""Gurgesiella sibogae"" OR ""Raja sibogae"""
"""Fenestraja sinusmexicanus""","""Fenestraja sinusmexicanus"" OR ""Breviraja sinusmexicanus"""
"""Fluvitrygon kittipongi""","""Fluvitrygon kittipongi"" OR ""Himantura kittipongi"""
"""Fluvitrygon oxyrhynchus""","""Fluvitrygon oxyrhynchus"" OR ""Himantura oxyrhynchus"" OR ""Himantura oxyrhyncha"" OR ""Trygon oxyrhynchus"" OR ""Himantura krempfi"""
"""Fluvitrygon signifer""","""Fluvitrygon signifer"" OR ""Himantura signifer"""
"""Fontitrygon colarensis""","""Fontitrygon colarensis"" OR ""Dasyatis colarensis"""
"""Fontitrygon garouaensis""","""Fontitrygon garouaensis"" OR ""Dasyatis garouaensis"" OR ""Potamotrygon garouaensis"""
"""Fontitrygon geijskesi""","""Fontitrygon geijskesi"" OR ""Dasyatis geijskesi"""
"""Fontitrygon margarita""","""Fontitrygon margarita"" OR ""Dasyatis margarita"" OR ""Trygon margarita"""
"""Fontitrygon margaritella""","""Fontitrygon margaritella"" OR ""Dasyatis margaritella"""
"""Fontitrygon ukpam""","""Fontitrygon ukpam"" OR ""Dasyatis ukpam"" OR ""Urogymnus ukpam"" OR ""Hemitrygon ukpam"""
"""Glaucostegus cemiculus""","""Glaucostegus cemiculus"" OR ""Rhinobatos cemiculus"" OR ""Glaucostegus petiti"""
"""Glaucostegus granulatus""","""Glaucostegus granulatus"" OR ""Rhinobatos granulatus"""
"""Glaucostegus halavi""","""Glaucostegus halavi"" OR ""Rhinobatos halavi"" OR ""Raja halavi"""
"""Glaucostegus obtusus""","""Glaucostegus obtusus"" OR ""Rhinobatos obtusus"""
"""Glaucostegus thouin""","""Glaucostegus thouin"" OR ""Rhinobatos thouin"" OR ""Raja thouin"""
"""Glaucostegus typus""","""Glaucostegus typus"" OR ""Glaucostegus microphthalmus"" OR ""Rhinobatos typus"""
"""Glaucostegus younholeei""","""Glaucostegus younholeei"""
"""Gurgesiella atlantica""","""Gurgesiella atlantica"" OR ""Pseudoraja atlantica"""
"""Gurgesiella dorsalifera""","""Gurgesiella dorsalifera"""
"""Gurgesiella furvescens""","""Gurgesiella furvescens"""
"""Gymnura altavela""","""Gymnura altavela"" OR ""Raja altavela"" OR ""Pteroplatea binotata"" OR ""Pteroplatea canariensis"" OR ""Raja maclura"" OR ""Pteroplatea vaillantii"" OR ""Pteroplatea valenciennii"""
"""Gymnura australis""","""Gymnura australis"" OR ""Pteroplatea australis"""
"""Gymnura crebripunctata""","""Gymnura crebripunctata"" OR ""Gymnura afuerae"" OR ""Pteroplatea crebripunctata"""
"""Gymnura japonica""","""Gymnura japonica"" OR ""Gymnura bimaculata"" OR ""Pteroplatea japonica"""
"""Gymnura lessae""","""Gymnura lessae"""
"""Gymnura marmorata""","""Gymnura marmorata"" OR ""Pteroplatea marmorata"" OR ""Pteroplatea rava"""
"""Gymnura micrura""","""Gymnura micrura"" OR ""Raja micrura"""
"""Gymnura natalensis""","""Gymnura natalensis"" OR ""Pteroplatea natalensis"""
"""Gymnura poecilura""","""Gymnura poecilura"""
"""Gymnura sereti""","""Gymnura sereti"""
"""Gymnura tentaculata""","""Gymnura tentaculata"" OR ""Aetoplatea tentaculata"""
"""Gymnura zonura""","""Gymnura zonura"" OR ""Aetoplatea zonura"""
"""Heliotrygon rosai""","""Heliotrygon rosai"""
"""Hemitrygon akajei""","""Hemitrygon akajei"" OR ""Dasyatis akajei"" OR ""Dasyatis gigantea"" OR ""Trygon akajei"""
"""Hemitrygon bennetti""","""Hemitrygon bennetti"" OR ""Dasyatis bennetti"" OR ""Trygon bennettii"""
