class,order,family,genus,sci_name,papers,status,min_depth,max_depth,year,size_type,size,range_km2,Species Name(RotW),page,chr,achr,NMDS1,NMDS2,NMDS3,uniqueness,sum_GDP_bil,pattern,shape
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja schroederi,2,LC,800,2380,1968,TL,130,65701,Bathyraja schroederi,324,0.387862625,5.128944668,-14.47749236,5.261153839,-2.000664988,15.53319623,5145.422262,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja shuntovi,0,DD,300,1485,1985,TL,175,909637,Bathyraja shuntovi,325,2.339453489,4.764724496,4.861857058,16.13555017,0.313874802,16.8550334,213.0179479,Mottled,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja smirnovi,4,NT,58,1125,1915,TL,116,1226329,Bathyraja smirnovi,327,0.441280426,1.881053137,-8.99675728,-1.915925278,-3.759099824,9.936963456,6642.479386,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja smithii,1,LC,250,1040,1841,TL,120,115988,Bathyraja smithii,328,0.339805181,2.587794287,-9.325504301,3.059962312,1.36130318,9.90866016,397.8645233,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja spinicauda,9,NT,140,1650,1914,TL,182,3704446,Bathyraja spinicauda,329,1.627274431,4.419906061,-10.48493299,-0.804967811,5.425981415,11.8331343,26537.03369,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja spinosissima,2,LC,800,2906,1941,TL,203,736466,Bathyraja spinosissima,330,0.324067389,1.888333488,5.294606209,16.60219385,-2.758797676,17.64303433,25011.42756,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja taranetzi,7,LC,17,1063,1983,TL,77,530250,Bathyraja taranetzi,331,0.332125594,4.135024777,-12.03914943,3.15562276,-0.010804519,12.44585034,23122.26539,Mottled,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja trachouros,0,NT,100,800,1958,TL,102,69826,Bathyraja trachouros,332,0.506104351,3.533835923,-3.933615714,-1.914862646,4.226450828,6.083002395,6642.479386,Other,Spade
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja trachura,8,LC,90,2900,1892,TL,91,1874078,Bathyraja trachura,333,0.227802055,4.650372929,-26.15366069,-2.419813344,-0.315548706,26.26726166,31104.25327,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja tunae,0,LC,1700,2240,2005,TL,97,5004,Bathyraja tunae,334,0.100971418,1.31076123,-0.858077252,4.231775594,0.656580001,4.367530028,29.77275624,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja tzinovskii,0,LC,1775,2500,1983,TL,94,39511,Bathyraja tzinovskii,335,0.217722582,2.187970568,8.797907371,7.603449142,2.083120941,11.81334016,6642.479386,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja violacea,3,LC,25,1100,1935,TL,107,1023958,Bathyraja violacea,336,3.062492548,9.487946455,-13.0287318,0.487344796,2.33462675,13.24521949,28089.52289,Other,Rhombus
Chondrichthyes,MYLIOBATIFORMES,DASYATIDAE,Bathytoshia,Bathytoshia brevicaudata,32,LC,0,480,1875,DW,210,1778126,Bathytoshia brevicaudata,426,0.780676599,5.630764878,-10.29750992,5.172338161,-1.810762807,11.66493268,8666.993603,Spotted,Rhombus
Chondrichthyes,MYLIOBATIFORMES,DASYATIDAE,Bathytoshia,Bathytoshia centroura,27,VU,0,275,1815,DW,220,1605215,Bathytoshia centroura,427,1.84272834,2.422537842,-2.765901686,-7.716642955,-2.634957381,8.610446623,25274.74575,None,Rhombus
Chondrichthyes,MYLIOBATIFORMES,DASYATIDAE,Bathytoshia,Bathytoshia lata,14,VU,0,800,1880,DW,260,3593604,Bathytoshia lata,428,3.417610922,4.339583787,-0.127501291,-3.013605607,1.03212582,3.18800236,58268.40263,None,Rhombus
Chondrichthyes,TORPEDINIFORMES,NARCINIDAE,Benthobatis,Benthobatis kreffti,3,VU,450,530,2001,TL,30,6055,Benthobatis kreffti,67,1.396967099,4.897106139,7.373363769,-2.341747945,4.05546478,8.734819477,1895.111052,None,Disc
Chondrichthyes,TORPEDINIFORMES,NARCINIDAE,Benthobatis,Benthobatis marcida,2,LC,197,1000,1909,TL,50,101771,Benthobatis marcida,68,3.086670125,1.6745534,9.687272185,6.040527452,2.079822278,11.60417489,21558.12689,None,Spade
